ID,0me,Avg Length pr Episode,Episode total,Sesong total,Start Date,End,In Continue or not Continue 
1,Hawkeye,50,8,1,2021,0,N/A
2,Ms Marvel,0,6,1,2022,0,N/A
3,Moon Knight,0,6,1,2022,0,N/A
4,She Hulk,0,10,1,2022,0,N/A
5,Ironheart,0,6,1,2022,0,N/A
6,Armor Wars,0,0,1,2022,0,N/A
7,Secret Invasion,0,6,1,2022,0,N/A
8,Loki,56,6,2,2021,0,YES
9,What If,38,18,2,2021,0,YES
10,I Am Groot,0,0,0,2022,0,N/A
11,Wakanda Series,0,0,0,0,0,N/A
12,Okoye Origin Series ,0,0,0,0,0,N/A
13,Echo Series,0,1,1,2022,0,YES
14,Agatha Series,0,0,0,0,0,N/A
15,Silk,0,0,0,0,0,N/A
16,Agents of SHIELD,46,136,7,2013,2020,NO
17,WandaVision,40,9,1,2021,2021,NO
18,The Falcon And The Winter Soldier,47,6,1,2021,2021,NO
19,The Defenders,48,8,1,2017,2017,NO
20,Inhumans,47,8,1,2017,2017,NO
21,Agent Carter,48,18,2,2015,2016,NO
22,Daredevil,54,39,3,2015,2018,NO
23,Iron Fist,55,23,2,2017,2018,NO
24,Luke Cage,55,26,2,2016,2018,NO
25,Jessica Jones,56,36,3,2015,2019,NO
26,The Punisher ,53,26,2,2017,2019,NO
27,Cloak and Dagger,44,20,2,2018,2019,NO
28,Runways,60,33,3,2017,2019,NO
29,Helstrom,48,10,1,2020,2020,NO
30,Ghost Rider,0,0,0,0,0,N/A
31,Glyph,0,0,0,0,0,N/A
32,Damage Control,0,0,0,0,0,N/A
33,New Warriors,0,0,0,0,0,N/A
